reg_no,join_date,designation,first_name,middle_name,last_name,father_name,mother_name,date_of_birth,gender,blood_group,nationality,mother_tongue,email,home_phone,mobile_1,mobile_2,address,state,country,temp_address,temp_state,temp_country,qualification,experience,experience_info,other_info
S001,2018-06-01,PEON,LOREM,KR,IPSUM,HARI BAHADUR,TEST MOTHER,2001-05-08,MALE,B+,NEPALI,MAITHILI,staff@gmail.com,977-31-23078,977-98989898,977-91239123,KATHMANDU,2 NO,NEPAL,KATHMANDU,3 NO,NEPAL,MA ECONOMICS,2 YEAR,,
S002,2018-06-02,TEACHER,UTTAM,RAJ,YADU,RAM BAHADUR,TEST MOTHER,1988-05-31,MALE,A+,INDIAN,HINDI,staff1@gmail.com,977-31-23079,977-98989898,977-91239123,KATHMANDU,BAGMATI8,INDIA,KATHMANDU,4 NO,NEPAL,BCA ,3 YEAR,,
S003,2018-06-03,ACCOUNTANT,UMESH,KUMAR,YADAV,HARI BAHADUR,TEST MOTHER,1975-06-24,MALE,A-,NEPALI,NEPALI,staff2@gmail.com,977-31-23080,977-98989898,977-91239123,KATHMANDU,UP,NEPAL,KATHMANDU,5 NO,NEPAL,BSC IT,10 YEARS,,
S004,2018-06-04,TEACHER,HARI,,ADHIKARI,RAM BAHADUR,TEST MOTHER,1962-07-17,MALE,O+,INDIAN,THARU,staff3@gmail.com,977-31-23081,977-98989898,977-91239123,KATHMANDU,PUNJAB,INDIA,KATHMANDU,6 NO,NEPAL,MA ECONOMICS,4 YEAR,,
S005,2018-06-05,TEACHER,NOV,,AANAND,HARI BAHADUR,TEST MOTHER,1949-08-09,MALE,B+,NEPALI,ENGLISH,staff4@gmail.com,977-31-23082,977-98989898,977-91239123,KATHMANDU,3 NO,NEPAL,KATHMANDU,7 NO,NEPAL,BCA ,5 YEAR,,
S006,2018-06-06,TEACHER,GITA,,SHRESTHA,RAM BAHADUR,TEST MOTHER,1936-09-01,FEMALE,A,INDIAN,MAITHILI,staff5@gmail.com,977-31-23083,977-98989898,977-91239123,KATHMANDU,BAGMATI9,INDIA,KATHMANDU,8 NO,NEPAL,BSC IT,11 YEARS,,
S007,2018-06-07,SECURITY GUARD,SITA,,MADE,HARI BAHADUR,TEST MOTHER,1923-09-25,FEMALE,O-,NEPALI,HINDI,staff6@gmail.com,977-31-23084,977-98989898,977-91239123,KATHMANDU,UP,NEPAL,KATHMANDU,9 NO,NEPAL,MA ECONOMICS,6 YEAR,,
S008,2018-06-08,RECEPTION,RITA,,GOSWAMI,RAM BAHADUR,TEST MOTHER,1910-10-18,FEMALE,B+,INDIAN,NEPALI,staff7@gmail.com,977-31-23085,977-98989898,977-91239123,KATHMANDU,PUNJAB,INDIA,KATHMANDU,10 NO,NEPAL,BCA ,7 YEAR,,
S009,2018-06-09,SECURITY GUARD,AAYUSH,,GHOSLA,HARI BAHADUR,TEST MOTHER,2001-05-08,MALE,B+,NEPALI,THARU,staff8@gmail.com,977-31-23086,977-98989898,977-91239123,KATHMANDU,4 NO,NEPAL,KATHMANDU,11 NO,NEPAL,BSC IT,12 YEARS,,
S010,2018-06-10,DRIVER,PREETI,,SHRESTHA,RAM BAHADUR,TEST MOTHER,1988-05-31,FEMALE,A+,INDIAN,ENGLISH,staff9@gmail.com,977-31-23087,977-98989898,977-91239123,KATHMANDU,BAGMATI10,INDIA,KATHMANDU,12 NO,NEPAL,MA ECONOMICS,8 YEAR,,
